[epoch:13, iter:5053] Loss: 0.787 | Acc: 72.764% 
[epoch:13, iter:5073] Loss: 0.786 | Acc: 72.792% 
[epoch:14, iter:5084] Loss: 0.778 | Acc: 70.312% 
[epoch:14, iter:5104] Loss: 0.714 | Acc: 75.260% 
[epoch:14, iter:5124] Loss: 0.748 | Acc: 74.428% 
[epoch:14, iter:5144] Loss: 0.760 | Acc: 73.975% 
[epoch:14, iter:5164] Loss: 0.769 | Acc: 73.524% 
[epoch:14, iter:5184] Loss: 0.770 | Acc: 73.592% 
[epoch:14, iter:5204] Loss: 0.764 | Acc: 73.696% 
[epoch:14, iter:5224] Loss: 0.767 | Acc: 73.460% 
[epoch:14, iter:5244] Loss: 0.771 | Acc: 73.399% 
[epoch:14, iter:5264] Loss: 0.769 | Acc: 73.394% 
[epoch:14, iter:5284] Loss: 0.766 | Acc: 73.507% 
[epoch:14, iter:5304] Loss: 0.770 | Acc: 73.342% 
[epoch:14, iter:5324] Loss: 0.771 | Acc: 73.321% 
[epoch:14, iter:5344] Loss: 0.770 | Acc: 73.312% 
[epoch:14, iter:5364] Loss: 0.771 | Acc: 73.257% 
[epoch:14, iter:5384] Loss: 0.772 | Acc: 73.209% 
[epoch:14, iter:5404] Loss: 0.770 | Acc: 73.274% 
[epoch:14, iter:5424] Loss: 0.773 | Acc: 73.224% 
[epoch:14, iter:5444] Loss: 0.774 | Acc: 73.219% 
[epoch:14, iter:5464] Loss: 0.774 | Acc: 73.228% 
[epoch:15, iter:5475] Loss: 0.764 | Acc: 75.781% 
[epoch:15, iter:5495] Loss: 0.709 | Acc: 74.963% 
[epoch:15, iter:5515] Loss: 0.742 | Acc: 73.971% 
[epoch:15, iter:5535] Loss: 0.746 | Acc: 73.732% 
[epoch:15, iter:5555] Loss: 0.765 | Acc: 73.052% 
[epoch:15, iter:5575] Loss: 0.762 | Acc: 73.213% 
[epoch:15, iter:5595] Loss: 0.764 | Acc: 73.263% 
[epoch:15, iter:5615] Loss: 0.760 | Acc: 73.410% 
[epoch:15, iter:5635] Loss: 0.760 | Acc: 73.510% 
[epoch:15, iter:5655] Loss: 0.757 | Acc: 73.679% 
[epoch:15, iter:5675] Loss: 0.759 | Acc: 73.655% 
[epoch:15, iter:5695] Loss: 0.759 | Acc: 73.618% 
[epoch:15, iter:5715] Loss: 0.764 | Acc: 73.506% 
[epoch:15, iter:5735] Loss: 0.765 | Acc: 73.473% 
[epoch:15, iter:5755] Loss: 0.764 | Acc: 73.571% 
[epoch:15, iter:5775] Loss: 0.765 | Acc: 73.513% 
[epoch:15, iter:5795] Loss: 0.766 | Acc: 73.479% 
[epoch:15, iter:5815] Loss: 0.767 | Acc: 73.392% 
[epoch:15, iter:5835] Loss: 0.767 | Acc: 73.472% 
[epoch:15, iter:5855] Loss: 0.768 | Acc: 73.429% 
[epoch:16, iter:5866] Loss: 0.592 | Acc: 77.344% 
[epoch:16, iter:5886] Loss: 0.676 | Acc: 77.418% 
[epoch:16, iter:5906] Loss: 0.702 | Acc: 76.086% 
[epoch:16, iter:5926] Loss: 0.709 | Acc: 75.423% 
[epoch:16, iter:5946] Loss: 0.716 | Acc: 75.135% 
[epoch:16, iter:5966] Loss: 0.724 | Acc: 74.915% 
[epoch:16, iter:5986] Loss: 0.734 | Acc: 74.529% 
[epoch:16, iter:6006] Loss: 0.737 | Acc: 74.357% 
[epoch:16, iter:6026] Loss: 0.741 | Acc: 74.156% 
[epoch:16, iter:6046] Loss: 0.739 | Acc: 74.227% 
[epoch:16, iter:6066] Loss: 0.739 | Acc: 74.304% 
[epoch:16, iter:6086] Loss: 0.743 | Acc: 74.190% 
[epoch:16, iter:6106] Loss: 0.746 | Acc: 74.086% 
[epoch:16, iter:6126] Loss: 0.746 | Acc: 74.114% 
[epoch:16, iter:6146] Loss: 0.746 | Acc: 74.146% 
[epoch:16, iter:6166] Loss: 0.750 | Acc: 74.076% 
[epoch:16, iter:6186] Loss: 0.749 | Acc: 74.104% 
[epoch:16, iter:6206] Loss: 0.754 | Acc: 73.946% 
[epoch:16, iter:6226] Loss: 0.754 | Acc: 73.946% 
[epoch:16, iter:6246] Loss: 0.754 | Acc: 73.969% 
[epoch:17, iter:6257] Loss: 0.767 | Acc: 69.531% 
[epoch:17, iter:6277] Loss: 0.712 | Acc: 74.628% 
[epoch:17, iter:6297] Loss: 0.724 | Acc: 74.638% 
[epoch:17, iter:6317] Loss: 0.733 | Acc: 74.552% 
[epoch:17, iter:6337] Loss: 0.725 | Acc: 74.932% 
[epoch:17, iter:6357] Loss: 0.724 | Acc: 74.868% 
[epoch:17, iter:6377] Loss: 0.726 | Acc: 74.735% 
[epoch:17, iter:6397] Loss: 0.729 | Acc: 74.684% 
[epoch:17, iter:6417] Loss: 0.729 | Acc: 74.631% 
[epoch:17, iter:6437] Loss: 0.735 | Acc: 74.517% 
[epoch:17, iter:6457] Loss: 0.739 | Acc: 74.444% 
[epoch:17, iter:6477] Loss: 0.742 | Acc: 74.413% 
[epoch:17, iter:6497] Loss: 0.744 | Acc: 74.426% 
[epoch:17, iter:6517] Loss: 0.743 | Acc: 74.551% 
[epoch:17, iter:6537] Loss: 0.745 | Acc: 74.422% 
[epoch:17, iter:6557] Loss: 0.746 | Acc: 74.369% 
[epoch:17, iter:6577] Loss: 0.746 | Acc: 74.396% 
[epoch:17, iter:6597] Loss: 0.747 | Acc: 74.386% 
[epoch:17, iter:6617] Loss: 0.749 | Acc: 74.277% 
[epoch:17, iter:6637] Loss: 0.748 | Acc: 74.266% 
[epoch:18, iter:6648] Loss: 0.731 | Acc: 78.125% 
[epoch:18, iter:6668] Loss: 0.689 | Acc: 76.897% 
[epoch:18, iter:6688] Loss: 0.684 | Acc: 76.677% 
[epoch:18, iter:6708] Loss: 0.702 | Acc: 75.897% 
[epoch:18, iter:6728] Loss: 0.715 | Acc: 75.511% 
[epoch:18, iter:6748] Loss: 0.715 | Acc: 75.394% 
[epoch:18, iter:6768] Loss: 0.716 | Acc: 75.213% 
[epoch:18, iter:6788] Loss: 0.717 | Acc: 75.288% 
[epoch:18, iter:6808] Loss: 0.720 | Acc: 75.214% 
[epoch:18, iter:6828] Loss: 0.723 | Acc: 75.073% 
[epoch:18, iter:6848] Loss: 0.728 | Acc: 74.953% 
[epoch:18, iter:6868] Loss: 0.733 | Acc: 74.791% 
[epoch:18, iter:6888] Loss: 0.734 | Acc: 74.802% 
[epoch:18, iter:6908] Loss: 0.735 | Acc: 74.802% 
[epoch:18, iter:6928] Loss: 0.733 | Acc: 74.878% 
[epoch:18, iter:6948] Loss: 0.736 | Acc: 74.798% 
[epoch:18, iter:6968] Loss: 0.737 | Acc: 74.779% 
[epoch:18, iter:6988] Loss: 0.738 | Acc: 74.734% 
[epoch:18, iter:7008] Loss: 0.737 | Acc: 74.777% 
[epoch:18, iter:7028] Loss: 0.737 | Acc: 74.725% 
[epoch:19, iter:7039] Loss: 0.595 | Acc: 82.031% 
[epoch:19, iter:7059] Loss: 0.703 | Acc: 76.525% 
[epoch:19, iter:7079] Loss: 0.731 | Acc: 75.095% 
[epoch:19, iter:7099] Loss: 0.732 | Acc: 74.898% 
[epoch:19, iter:7119] Loss: 0.735 | Acc: 74.730% 
[epoch:19, iter:7139] Loss: 0.734 | Acc: 74.760% 
[epoch:19, iter:7159] Loss: 0.734 | Acc: 74.735% 
[epoch:19, iter:7179] Loss: 0.734 | Acc: 74.778% 
[epoch:19, iter:7199] Loss: 0.732 | Acc: 74.874% 
[epoch:19, iter:7219] Loss: 0.736 | Acc: 74.728% 
[epoch:19, iter:7239] Loss: 0.739 | Acc: 74.600% 
[epoch:19, iter:7259] Loss: 0.741 | Acc: 74.505% 
[epoch:19, iter:7279] Loss: 0.740 | Acc: 74.494% 
[epoch:19, iter:7299] Loss: 0.737 | Acc: 74.563% 
[epoch:19, iter:7319] Loss: 0.735 | Acc: 74.600% 
[epoch:19, iter:7339] Loss: 0.735 | Acc: 74.629% 
[epoch:19, iter:7359] Loss: 0.734 | Acc: 74.659% 
[epoch:19, iter:7379] Loss: 0.733 | Acc: 74.737% 
[epoch:19, iter:7399] Loss: 0.733 | Acc: 74.766% 
[epoch:19, iter:7419] Loss: 0.734 | Acc: 74.738% 
[epoch:20, iter:7430] Loss: 0.623 | Acc: 77.344% 
[epoch:20, iter:7450] Loss: 0.646 | Acc: 77.865% 
[epoch:20, iter:7470] Loss: 0.690 | Acc: 76.505% 
[epoch:20, iter:7490] Loss: 0.690 | Acc: 76.178% 
[epoch:20, iter:7510] Loss: 0.689 | Acc: 76.100% 
[epoch:20, iter:7530] Loss: 0.698 | Acc: 75.835% 
[epoch:20, iter:7550] Loss: 0.704 | Acc: 75.814% 
[epoch:20, iter:7570] Loss: 0.707 | Acc: 75.731% 
[epoch:20, iter:7590] Loss: 0.710 | Acc: 75.543% 
[epoch:20, iter:7610] Loss: 0.713 | Acc: 75.410% 
[epoch:20, iter:7630] Loss: 0.715 | Acc: 75.342% 
[epoch:20, iter:7650] Loss: 0.717 | Acc: 75.297% 
[epoch:20, iter:7670] Loss: 0.715 | Acc: 75.415% 
[epoch:20, iter:7690] Loss: 0.717 | Acc: 75.305% 
[epoch:20, iter:7710] Loss: 0.715 | Acc: 75.395% 
[epoch:20, iter:7730] Loss: 0.715 | Acc: 75.413% 
[epoch:20, iter:7750] Loss: 0.720 | Acc: 75.258% 
[epoch:20, iter:7770] Loss: 0.723 | Acc: 75.154% 
[epoch:20, iter:7790] Loss: 0.723 | Acc: 75.171% 
[epoch:20, iter:7810] Loss: 0.724 | Acc: 75.137% 
[epoch:21, iter:7821] Loss: 0.683 | Acc: 72.656% 
[epoch:21, iter:7841] Loss: 0.692 | Acc: 75.632% 
[epoch:21, iter:7861] Loss: 0.703 | Acc: 75.553% 
[epoch:21, iter:7881] Loss: 0.704 | Acc: 76.063% 
[epoch:21, iter:7901] Loss: 0.704 | Acc: 76.071% 
[epoch:21, iter:7921] Loss: 0.695 | Acc: 76.176% 
[epoch:21, iter:7941] Loss: 0.696 | Acc: 76.201% 
[epoch:21, iter:7961] Loss: 0.704 | Acc: 75.864% 
[epoch:21, iter:7981] Loss: 0.706 | Acc: 75.762% 
[epoch:21, iter:8001] Loss: 0.708 | Acc: 75.721% 
[epoch:21, iter:8021] Loss: 0.710 | Acc: 75.723% 
[epoch:21, iter:8041] Loss: 0.714 | Acc: 75.615% 
[epoch:21, iter:8061] Loss: 0.712 | Acc: 75.645% 
