[epoch:4, iter:3047] Loss: 1.427 | Acc: 48.841% 
[epoch:4, iter:3067] Loss: 1.425 | Acc: 48.942% 
[epoch:4, iter:3087] Loss: 1.422 | Acc: 49.043% 
[epoch:4, iter:3107] Loss: 1.420 | Acc: 49.066% 
[epoch:4, iter:3127] Loss: 1.419 | Acc: 49.178% 
[epoch:5, iter:3129] Loss: 1.228 | Acc: 62.500% 
[epoch:5, iter:3149] Loss: 1.371 | Acc: 50.670% 
[epoch:5, iter:3169] Loss: 1.371 | Acc: 51.753% 
[epoch:5, iter:3189] Loss: 1.394 | Acc: 50.871% 
[epoch:5, iter:3209] Loss: 1.379 | Acc: 51.138% 
[epoch:5, iter:3229] Loss: 1.378 | Acc: 50.882% 
[epoch:5, iter:3249] Loss: 1.364 | Acc: 51.265% 
[epoch:5, iter:3269] Loss: 1.353 | Acc: 51.729% 
[epoch:5, iter:3289] Loss: 1.355 | Acc: 51.737% 
[epoch:5, iter:3309] Loss: 1.346 | Acc: 52.124% 
[epoch:5, iter:3329] Loss: 1.342 | Acc: 52.200% 
[epoch:5, iter:3349] Loss: 1.335 | Acc: 52.319% 
[epoch:5, iter:3369] Loss: 1.331 | Acc: 52.483% 
[epoch:5, iter:3389] Loss: 1.329 | Acc: 52.610% 
[epoch:5, iter:3409] Loss: 1.331 | Acc: 52.563% 
[epoch:5, iter:3429] Loss: 1.326 | Acc: 52.720% 
[epoch:5, iter:3449] Loss: 1.327 | Acc: 52.653% 
[epoch:5, iter:3469] Loss: 1.328 | Acc: 52.616% 
[epoch:5, iter:3489] Loss: 1.328 | Acc: 52.658% 
[epoch:5, iter:3509] Loss: 1.329 | Acc: 52.612% 
[epoch:5, iter:3529] Loss: 1.326 | Acc: 52.751% 
[epoch:5, iter:3549] Loss: 1.323 | Acc: 52.847% 
[epoch:5, iter:3569] Loss: 1.320 | Acc: 53.012% 
[epoch:5, iter:3589] Loss: 1.318 | Acc: 53.108% 
[epoch:5, iter:3609] Loss: 1.318 | Acc: 53.102% 
[epoch:5, iter:3629] Loss: 1.317 | Acc: 53.144% 
[epoch:5, iter:3649] Loss: 1.314 | Acc: 53.182% 
[epoch:5, iter:3669] Loss: 1.314 | Acc: 53.137% 
[epoch:5, iter:3689] Loss: 1.312 | Acc: 53.209% 
[epoch:5, iter:3709] Loss: 1.312 | Acc: 53.187% 
[epoch:5, iter:3729] Loss: 1.310 | Acc: 53.317% 
[epoch:5, iter:3749] Loss: 1.310 | Acc: 53.311% 
[epoch:5, iter:3769] Loss: 1.309 | Acc: 53.340% 
[epoch:5, iter:3789] Loss: 1.309 | Acc: 53.361% 
[epoch:5, iter:3809] Loss: 1.309 | Acc: 53.338% 
[epoch:5, iter:3829] Loss: 1.309 | Acc: 53.381% 
[epoch:5, iter:3849] Loss: 1.307 | Acc: 53.418% 
[epoch:5, iter:3869] Loss: 1.306 | Acc: 53.446% 
[epoch:5, iter:3889] Loss: 1.305 | Acc: 53.480% 
[epoch:5, iter:3909] Loss: 1.304 | Acc: 53.541% 
[epoch:6, iter:3911] Loss: 1.058 | Acc: 68.750% 
[epoch:6, iter:3931] Loss: 1.229 | Acc: 56.027% 
[epoch:6, iter:3951] Loss: 1.266 | Acc: 54.459% 
[epoch:6, iter:3971] Loss: 1.269 | Acc: 54.508% 
